Pos,Team,Matches,Points,Rating
1,India,44,5010,114
2,Australia,32,3572,112
3,New Zealand,29,3229,111
4,England,33,3656,111
5,Pakistan,25,2649,106
6,South Africa,27,2775,103
7,Bangladesh,33,3129,95
8,Sri Lanka,34,2976,88
9,Afghanistan,20,1419,71
10,West Indies,41,2902,71
11,Ireland,25,1300,52
12,Scotland,32,1544,48
13,Zimbabwe,28,1201,43
14,Namibia,28,934,33
15,Netherlands,21,673,32
16,Oman,30,919,31
17,UAE,25,693,28
18,USA,31,821,26
19,Nepal,29,543,19
20,PNG,30,128,4
